,district_10,district_5,district_8,district_9,district_2,district_1,district_8A,district_6,district_4,district_3,district_7C,district_7B
0,241.0,17.0,40.0,181.0,195.0,129,62.0,80.0,244.0,7.0,40.0,40.0
1,97.0,197.0,113.0,219.0,74.0,149,152.0,106.0,195.0,145.0,133.0,131.0
2,5.0,146.0,164.0,50.0,119.0,197,131.0,224.0,130.0,197.0,41.0,181.0
3,190.0,219.0,176.0,38.0,87.0,74,50.0,193.0,65.0,203.0,225.0,41.0
4,50.0,198.0,225.0,77.0,160.0,246,113.0,173.0,123.0,99.0,164.0,219.0
5,184.0,80.0,215.0,243.0,61.0,61,94.0,0.0,239.0,74.0,215.0,220.0
6,210.0,154.0,86.0,42.0,246.0,65,216.0,112.0,204.0,119.0,86.0,46.0
7,58.0,106.0,237.0,98.0,204.0,81,76.0,171.0,23.0,160.0,191.0,176.0
8,34.0,165.0,1.0,4.0,127.0,239,1.0,211.0,107.0,236.0,68.0,208.0
9,43.0,0.0,191.0,118.0,88.0,165,84.0,175.0,155.0,35.0,232.0,216.0
10,218.0,112.0,16.0,60.0,155.0,135,39.0,157.0,136.0,165.0,167.0,140.0
11,37.0,110.0,57.0,90.0,28.0,127,16.0,31.0,213.0,143.0,221.0,103.0
12,105.0,69.0,194.0,48.0,44.0,143,172.0,79.0,177.0,112.0,153.0,110.0
13,147.0,42.0,54.0,223.0,142.0,15,109.0,209.0,63.0,92.0,199.0,71.0
14,22.0,189.0,167.0,183.0,3.0,13,57.0,202.0,3.0,88.0,230.0,166.0
15,64.0,60.0,114.0,137.0,6.0,68,53.0,249.0,12.0,186.0,24.0,167.0
16,170.0,174.0,207.0,168.0,12.0,88,167.0,33.0,124.0,227.0,206.0,153.0
17,116.0,20.0,230.0,248.0,124.0,232,207.0,156.0,30.0,175.0,52.0,199.0
18,55.0,72.0,188.0,242.0,148.0,155,158.0,18.0,141.0,28.0,163.0,207.0
19,187.0,249.0,158.0,134.0,234.0,14,8.0,2.0,,169.0,51.0,29.0
20,102.0,156.0,247.0,11.0,,132,222.0,235.0,,122.0,67.0,24.0
21,95.0,183.0,21.0,214.0,,162,139.0,182.0,,44.0,47.0,223.0
22,179.0,138.0,150.0,103.0,,9,75.0,111.0,,228.0,217.0,49.0
23,32.0,125.0,70.0,,,142,134.0,201.0,,142.0,185.0,205.0
24,89.0,108.0,52.0,,,104,151.0,101.0,,20.0,117.0,137.0
25,196.0,212.0,51.0,,,226,82.0,91.0,,156.0,,183.0
26,178.0,111.0,67.0,,,93,,36.0,,78.0,,75.0
27,,115.0,185.0,,,192,,144.0,,120.0,,96.0
28,,73.0,121.0,,,45,,200.0,,100.0,,66.0
29,,128.0,82.0,,,27,,229.0,,235.0,,125.0
30,,59.0,,,,85,,,,238.0,,212.0
31,,233.0,,,,63,,,,83.0,,47.0
32,,144.0,,,,26,,,,201.0,,134.0
33,,211.0,,,,6,,,,10.0,,11.0
34,,25.0,,,,148,,,,180.0,,214.0
35,,56.0,,,,245,,,,144.0,,126.0
36,,,,,,161,,,,19.0,,
37,,,,,,159,,,,25.0,,
38,,,,,,231,,,,240.0,,
39,,,,,,10,,,,,,
40,,,,,,217,,,,,,
41,,,,,,141,,,,,,
42,,,,,,25,,,,,,
